country_ID;category_ID;cumulative_inflation_20_23
AT;C01;0.2658309319700001
AT;C02;0.1422041911280001
AT;C03;0.07956885050000007
AT;C04;0.35002251835999987
AT;C05;0.18714596443999998
AT;C06;0.11965068627199993
AT;C07;0.23344025911999977
AT;C08;-0.08537659060800018
AT;C09;0.16346170408999972
AT;C10;0.1283176678400002
AT;C11;0.3055953204800006
AT;C13;0.14521041008000002
BE;C01;0.2675417832999998
BE;C02;0.25182841741999984
BE;C03;0.08640006320000015
BE;C04;0.17139934835000004
BE;C05;0.12893956797999984
BE;C06;0.07109898895999955
BE;C07;0.2085644284999999
BE;C08;0.029155600975999896
BE;C09;0.12182995987999967
BE;C10;0.06433438685199988
BE;C11;0.20102754932999978
BE;C13;0.13890628942999972
BG;C01;0.49627557247999987
BG;C02;0.12894200359999997
BG;C03;0.106346021924
BG;C04;0.3321979351999995
BG;C05;0.23815485439999984
BG;C06;0.19004246144000003
BG;C07;0.22330264999999994
BG;C08;0.02027630813999992
BG;C09;0.19441371392000018
BG;C10;0.27806706692000005
BG;C11;0.33673478681599955
BG;C13;0.253208304008
CY;C01;0.20125592000000014
CY;C02;0.03494018713399982
CY;C03;0.05582651419999962
CY;C04;0.31683426758
CY;C05;0.09616553661999983
CY;C06;0.034406033674999614
CY;C07;0.16052837900000005
CY;C08;-0.03174686480800015
CY;C09;0.12315272443999992
CY;C10;0.04362350599999987
CY;C11;0.13389178515200006
CY;C13;0.0870056162899997
CZ;C01;0.38049513055999995
CZ;C02;0.31921062998400007
CZ;C03;0.45398783667499987
CZ;C04;0.5888454041600002
CZ;C05;0.27513179109999975
CZ;C06;0.2512346461999999
CZ;C07;0.27214098406400034
CZ;C08;0.003637065649999993
CZ;C09;0.28569086805599997
CZ;C10;0.1805327462399997
CZ;C11;0.5012119825999997
CZ;C13;0.28903743386000014
DE;C01;0.33843290642599944
DE;C02;0.2002328576000001
DE;C03;0.07857670080000001
DE;C04;0.24368576336000025
DE;C05;0.1680911692999998
DE;C06;0.05596339120999971
DE;C07;0.21451433641999995
DE;C08;-0.017019964000000054
DE;C09;0.1316088312199999
DE;C10;0.06499397888000025
DE;C11;0.21844474953199988
DE;C13;0.15131604438499968
DK;C01;0.22320743176000013
DK;C02;0.27731637488000005
DK;C03;0.02980498255999997
DK;C04;0.1621325915599996
DK;C05;0.10725767203999981
DK;C06;0.07261117963999975
DK;C07;0.15013193489999987
DK;C08;-0.00038810828800006636
DK;C09;0.09120882070199965
DK;C10;0.12431357224999973
DK;C11;0.20337828083199994
