consumption_ID;country_ID;year_ID;category_ID;consumption_MEUR
FR20_C01;FR;20;C01;162177.9
FR21_C01;FR;21;C01;162366.3
FR22_C01;FR;22;C01;170087.5
FR23_C01;FR;23;C01;185042.6
IT10_C01;IT;10;C01;138623.3
IT11_C01;IT;11;C01;141596.0
IT12_C01;IT;12;C01;140470.0
IT13_C01;IT;13;C01;140891.1
IT14_C01;IT;14;C01;140761.3
IT15_C01;IT;15;C01;143724.1
IT16_C01;IT;16;C01;144930.4
IT17_C01;IT;17;C01;149292.0
IT18_C01;IT;18;C01;150860.8
IT19_C01;IT;19;C01;152821.1
IT20_C01;IT;20;C01;156542.1
IT21_C01;IT;21;C01;157600.9
IT22_C01;IT;22;C01;167435.3
IT23_C01;IT;23;C01;182196.7
CY10_C01;CY;10;C01;1498.6
CY11_C01;CY;11;C01;1577.4
CY12_C01;CY;12;C01;1620.9
CY13_C01;CY;13;C01;1604.0
CY14_C01;CY;14;C01;1619.6
CY15_C01;CY;15;C01;1646.1
CY16_C01;CY;16;C01;1690.2
CY17_C01;CY;17;C01;1746.3
CY18_C01;CY;18;C01;1769.8
CY19_C01;CY;19;C01;1837.7
CY20_C01;CY;20;C01;1899.4
CY21_C01;CY;21;C01;1924.2
CY22_C01;CY;22;C01;2215.7
CY23_C01;CY;23;C01;2447.3
LV10_C01;LV;10;C01;2255.6
LV11_C01;LV;11;C01;2379.9
LV12_C01;LV;12;C01;2626.2
LV13_C01;LV;13;C01;2850.8
LV14_C01;LV;14;C01;2809.8
LV15_C01;LV;15;C01;2684.6
LV16_C01;LV;16;C01;2733.6
LV17_C01;LV;17;C01;2867.2
LV18_C01;LV;18;C01;3096.3
LV19_C01;LV;19;C01;3199.9
LV20_C01;LV;20;C01;3381.8
LV21_C01;LV;21;C01;3707.5
LV22_C01;LV;22;C01;4281.6
LV23_C01;LV;23;C01;4689.0
HU10_C01;HU;10;C01;8873.4
HU11_C01;HU;11;C01;9282.3
HU12_C01;HU;12;C01;9477.3
HU13_C01;HU;13;C01;9602.6
HU14_C01;HU;14;C01;9728.9
HU15_C01;HU;15;C01;10200.1
HU16_C01;HU;16;C01;10364.4
HU17_C01;HU;17;C01;11491.0
HU18_C01;HU;18;C01;11866.5
HU19_C01;HU;19;C01;12623.6
HU20_C01;HU;20;C01;12631.9
HU21_C01;HU;21;C01;13228.5
HU22_C01;HU;22;C01;14013.7
HU23_C01;HU;23;C01;16362.5
MT10_C01;MT;10;C01;687.3
MT11_C01;MT;11;C01;731.4
MT12_C01;MT;12;C01;748.9
MT13_C01;MT;13;C01;782.8
MT14_C01;MT;14;C01;813.7
MT15_C01;MT;15;C01;828.3
MT16_C01;MT;16;C01;831.3
MT17_C01;MT;17;C01;869.8
MT18_C01;MT;18;C01;896.3
MT19_C01;MT;19;C01;919.4
MT20_C01;MT;20;C01;888.0
MT21_C01;MT;21;C01;932.3
MT22_C01;MT;22;C01;1107.0
MT23_C01;MT;23;C01;1273.6
NL10_C01;NL;10;C01;30475.0
NL11_C01;NL;11;C01;31575.0
NL12_C01;NL;12;C01;32790.0
NL13_C01;NL;13;C01;33377.0
NL14_C01;NL;14;C01;33660.0
NL15_C01;NL;15;C01;34744.0
NL16_C01;NL;16;C01;35411.0
NL17_C01;NL;17;C01;36867.0
NL18_C01;NL;18;C01;37799.0
NL19_C01;NL;19;C01;39602.0
NL20_C01;NL;20;C01;44028.0
NL21_C01;NL;21;C01;45062.0
NL22_C01;NL;22;C01;49307.0
NL23_C01;NL;23;C01;53143.0
AT10_C01;AT;10;C01;15982.5
AT11_C01;AT;11;C01;16617.3
AT12_C01;AT;12;C01;17314.6
AT13_C01;AT;13;C01;17943.6
AT14_C01;AT;14;C01;18237.6
AT15_C01;AT;15;C01;18642.6
AT16_C01;AT;16;C01;18776.6
AT17_C01;AT;17;C01;19525.5
AT18_C01;AT;18;C01;20002.6
AT19_C01;AT;19;C01;20362.5
AT20_C01;AT;20;C01;22105.2
AT21_C01;AT;21;C01;21760.0
AT22_C01;AT;22;C01;23287.2
AT23_C01;AT;23;C01;25294.4
PT10_C01;PT;10;C01;19079.7
PT11_C01;PT;11;C01;19424.1
PT12_C01;PT;12;C01;19812.3
PT13_C01;PT;13;C01;20397.2
PT14_C01;PT;14;C01;20436.9
PT15_C01;PT;15;C01;20991.3
PT16_C01;PT;16;C01;21571.7
PT17_C01;PT;17;C01;22425.1
PT18_C01;PT;18;C01;23077.3
PT19_C01;PT;19;C01;23766.9
PT20_C01;PT;20;C01;24425.0
PT21_C01;PT;21;C01;25787.0
PT22_C01;PT;22;C01;29818.2
PT23_C01;PT;23;C01;31867.33464633744
SI10_C01;SI;10;C01;2971.8
SI11_C01;SI;11;C01;3131.1
SI12_C01;SI;12;C01;3212.7
SI13_C01;SI;13;C01;3152.9
SI14_C01;SI;14;C01;3135.0
SI15_C01;SI;15;C01;3182.7
SI16_C01;SI;16;C01;3261.2
SI17_C01;SI;17;C01;3293.5
SI18_C01;SI;18;C01;3425.8
SI19_C01;SI;19;C01;3645.4
SI20_C01;SI;20;C01;3710.5
SI21_C01;SI;21;C01;3798.4
SI22_C01;SI;22;C01;4555.0
SI23_C01;SI;23;C01;4915.6
SE10_C01;SE;10;C01;20217.5
SE11_C01;SE;11;C01;21863.3
SE12_C01;SE;12;C01;23751.3
SE13_C01;SE;13;C01;24493.6
SE14_C01;SE;14;C01;24095.1
SE15_C01;SE;15;C01;24651.5
SE16_C01;SE;16;C01;25475.6
SE17_C01;SE;17;C01;25897.0
SE18_C01;SE;18;C01;25856.0
SE19_C01;SE;19;C01;25564.6
SE20_C01;SE;20;C01;27471.5
SE21_C01;SE;21;C01;29511.3
SE22_C01;SE;22;C01;30444.5
SE23_C01;SE;23;C01;30530.6
EU10_C02;EU;10;C02;245120.0
EU11_C02;EU;11;C02;252858.4
EU12_C02;EU;12;C02;257443.2
EU13_C02;EU;13;C02;257459.8
EU14_C02;EU;14;C02;258683.2
EU15_C02;EU;15;C02;265607.4
EU16_C02;EU;16;C02;271920.9
EU17_C02;EU;17;C02;277740.5
EU18_C02;EU;18;C02;286542.4
EU19_C02;EU;19;C02;293992.6
EU20_C02;EU;20;C02;305749.7
EU21_C02;EU;21;C02;317793.8
EU22_C02;EU;22;C02;325663.6
EU23_C02;EU;23;C02;339785.4
BE10_C02;BE;10;C02;7418.0
BE11_C02;BE;11;C02;7261.0
BE12_C02;BE;12;C02;7518.3
BE13_C02;BE;13;C02;7882.3
BE14_C02;BE;14;C02;8343.6
BE15_C02;BE;15;C02;8783.6
BE16_C02;BE;16;C02;9213.1
BE17_C02;BE;17;C02;9223.6
BE18_C02;BE;18;C02;9696.6
BE19_C02;BE;19;C02;10026.7
BE20_C02;BE;20;C02;10267.1
BE21_C02;BE;21;C02;10802.9
BE22_C02;BE;22;C02;11296.5
BE23_C02;BE;23;C02;11950.8
BG10_C02;BG;10;C02;1864.4
BG11_C02;BG;11;C02;1922.4
BG12_C02;BG;12;C02;2122.4
BG13_C02;BG;13;C02;1874.2
BG14_C02;BG;14;C02;1565.5
BG15_C02;BG;15;C02;1553.3
BG16_C02;BG;16;C02;1643.1
BG17_C02;BG;17;C02;1751.9
BG18_C02;BG;18;C02;1862.6
BG19_C02;BG;19;C02;2037.2
BG20_C02;BG;20;C02;2057.5
BG21_C02;BG;21;C02;2204.5
BG22_C02;BG;22;C02;2478.4
BG23_C02;BG;23;C02;2808.5
CZ10_C02;CZ;10;C02;6353.1
CZ11_C02;CZ;11;C02;6828.8
CZ12_C02;CZ;12;C02;6771.3
CZ13_C02;CZ;13;C02;6638.0
CZ14_C02;CZ;14;C02;6393.5
CZ15_C02;CZ;15;C02;6889.1
CZ16_C02;CZ;16;C02;7118.8
CZ17_C02;CZ;17;C02;7504.0
CZ18_C02;CZ;18;C02;8249.3
CZ19_C02;CZ;19;C02;8511.6
CZ20_C02;CZ;20;C02;8237.2
CZ21_C02;CZ;21;C02;9133.5
CZ22_C02;CZ;22;C02;10116.4
CZ23_C02;CZ;23;C02;10530.7
DK10_C02;DK;10;C02;4205.8
DK11_C02;DK;11;C02;4464.1
DK12_C02;DK;12;C02;4497.1
DK13_C02;DK;13;C02;4570.9
DK14_C02;DK;14;C02;4558.7
DK15_C02;DK;15;C02;4449.5
DK16_C02;DK;16;C02;4530.6
DK17_C02;DK;17;C02;4662.5
DK18_C02;DK;18;C02;4705.5
DK19_C02;DK;19;C02;4815.7
DK20_C02;DK;20;C02;5066.4
DK21_C02;DK;21;C02;5576.4
DK22_C02;DK;22;C02;5500.2
DK23_C02;DK;23;C02;5324.6
DE10_C02;DE;10;C02;46639.0
DE11_C02;DE;11;C02;48696.0
DE12_C02;DE;12;C02;50066.0
DE13_C02;DE;13;C02;49779.0
DE14_C02;DE;14;C02;51107.0
DE15_C02;DE;15;C02;53559.0
DE16_C02;DE;16;C02;53750.0
DE17_C02;DE;17;C02;54696.0
DE18_C02;DE;18;C02;55919.0
DE19_C02;DE;19;C02;57958.0
DE20_C02;DE;20;C02;61584.0
DE21_C02;DE;21;C02;63730.0
DE22_C02;DE;22;C02;62265.0
DE23_C02;DE;23;C02;64917.0
EE10_C02;EE;10;C02;689.5
EE11_C02;EE;11;C02;767.9
EE12_C02;EE;12;C02;846.5
EE13_C02;EE;13;C02;899.1
EE14_C02;EE;14;C02;936.4
EE15_C02;EE;15;C02;957.3
EE16_C02;EE;16;C02;948.8
EE17_C02;EE;17;C02;966.8
EE18_C02;EE;18;C02;1010.0
EE19_C02;EE;19;C02;995.4
EE20_C02;EE;20;C02;1059.1
EE21_C02;EE;21;C02;1140.6
EE22_C02;EE;22;C02;1222.7
EE23_C02;EE;23;C02;1273.2
IE10_C02;IE;10;C02;4718.9
IE11_C02;IE;11;C02;4777.1
IE12_C02;IE;12;C02;4671.8
IE13_C02;IE;13;C02;4342.0
IE14_C02;IE;14;C02;4459.1
IE15_C02;IE;15;C02;4499.2
IE16_C02;IE;16;C02;4740.6
IE17_C02;IE;17;C02;4812.5
IE18_C02;IE;18;C02;4695.6
IE19_C02;IE;19;C02;5191.4
IE20_C02;IE;20;C02;5809.9
IE21_C02;IE;21;C02;5939.0
IE22_C02;IE;22;C02;5592.0
IE23_C02;IE;23;C02;5420.9
ES10_C02;ES;10;C02;26589.0
ES11_C02;ES;11;C02;26754.0
ES12_C02;ES;12;C02;26605.0
ES13_C02;ES;13;C02;26222.0
ES14_C02;ES;14;C02;26590.0
ES15_C02;ES;15;C02;26568.0
ES16_C02;ES;16;C02;27915.0
ES17_C02;ES;17;C02;28025.0
ES18_C02;ES;18;C02;28179.0
ES19_C02;ES;19;C02;28445.0
ES20_C02;ES;20;C02;29392.0
ES21_C02;ES;21;C02;29635.0
ES22_C02;ES;22;C02;31304.0
ES23_C02;ES;23;C02;32473.0
FR10_C02;FR;10;C02;38229.7
FR11_C02;FR;11;C02;39641.0
FR12_C02;FR;12;C02;40917.1
FR13_C02;FR;13;C02;42139.6
FR14_C02;FR;14;C02;42842.5
FR15_C02;FR;15;C02;43562.1
FR16_C02;FR;16;C02;43694.2
FR17_C02;FR;17;C02;44372.5
FR18_C02;FR;18;C02;46252.5
FR19_C02;FR;19;C02;47012.0
FR20_C02;FR;20;C02;50922.2
FR21_C02;FR;21;C02;51578.6
FR22_C02;FR;22;C02;50235.2
FR23_C02;FR;23;C02;51295.0
IT10_C02;IT;10;C02;38995.6
IT11_C02;IT;11;C02;39713.8
IT12_C02;IT;12;C02;41654.0
IT13_C02;IT;13;C02;41002.1
IT14_C02;IT;14;C02;39398.8
