cons_15_19_ID;country_ID;category_ID;avg_consumption_MEUR
C07PT;PT;C07;17737
C08PT;PT;C08;3882
C09PT;PT;C09;6829
C10PT;PT;C10;2030
C11PT;PT;C11;17148
C12PT;PT;C12;5262
C13PT;PT;C13;8692
C01SE;SE;C01;25489
C02SE;SE;C02;7276
C03SE;SE;C03;10079
C04SE;SE;C04;53509
C05SE;SE;C05;10827
C06SE;SE;C06;6691
C07SE;SE;C07;27733
C08SE;SE;C08;9367
C09SE;SE;C09;19610
C10SE;SE;C10;705
C11SE;SE;C11;15636
C12SE;SE;C12;9413
C13SE;SE;C13;13423
C01SI;SI;C01;3361
C02SI;SI;C02;1209
C03SI;SI;C03;1269
C04SI;SI;C04;4514
C05SI;SI;C05;1167
C06SI;SI;C06;924
C07SI;SI;C07;3906
C08SI;SI;C08;986
C09SI;SI;C09;1861
C10SI;SI;C10;301
C11SI;SI;C11;1730
C12SI;SI;C12;1132
C13SI;SI;C13;1279
