indicator_ID;country_ID;year_ID;KPI_ID;value
BG12_INC;BG;12;INC;25019.0
BG12_HVPI;BG;12;HVPI;102.0
BG12_INF;BG;12;INF;2.4
BG12_SAVN;BG;12;SAVN;-2129.0
BG12_SAVR;BG;12;SAVR;-6.93
BG13_CON;BG;13;CON;26093.0
BG13_INC;BG;13;INC;25457.0
BG13_HVPI;BG;13;HVPI;102.0
BG13_INF;BG;13;INF;0.4
BG13_SAVN;BG;13;SAVN;-184.0
BG13_SAVR;BG;13;SAVR;0.73
BG14_CON;BG;14;CON;26804.0
BG14_INC;BG;14;INC;25775.0
BG14_HVPI;BG;14;HVPI;101.0
BG14_INF;BG;14;INF;-1.6
BG14_SAVN;BG;14;SAVN;-466.0
BG14_SAVR;BG;14;SAVR;-0.14
BG15_CON;BG;15;CON;28146.0
BG15_INC;BG;15;INC;26768.0
BG15_HVPI;BG;15;HVPI;100.0
BG15_INF;BG;15;INF;-1.1
BG15_SAVN;BG;15;SAVN;-733.0
BG15_SAVR;BG;15;SAVR;-1.03
BG16_CON;BG;16;CON;29208.0
BG16_INC;BG;16;INC;27961.0
BG16_HVPI;BG;16;HVPI;98.0
BG16_INF;BG;16;INF;-1.3
BG16_SAVN;BG;16;SAVN;-690.0
BG16_SAVR;BG;16;SAVR;-1.02
BG17_CON;BG;17;CON;31333.0
BG17_INC;BG;17;INC;30033.0
BG17_HVPI;BG;17;HVPI;99.0
BG17_INF;BG;17;INF;1.2
BG17_SAVN;BG;17;SAVN;-505.0
BG17_SAVR;BG;17;SAVR;-0.24
BG18_CON;BG;18;CON;33231.0
BG18_INC;BG;18;INC;33307.0
BG18_HVPI;BG;18;HVPI;102.0
BG18_INF;BG;18;INF;2.6
BG18_SAVN;BG;18;SAVN;821.0
BG18_SAVR;BG;18;SAVR;3.75
BG19_CON;BG;19;CON;35943.0
BG19_INC;BG;19;INC;34702.0
BG19_HVPI;BG;19;HVPI;104.0
BG19_INF;BG;19;INF;2.5
